,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
124,125,1.010655307,[1.37264941],0.616,0.31175,0.13525,0.049,0.01575,0.63566314,0.346410317,0.16752074,0.076492571,0.033889682
125,126,0.954436417,[1.15807105],0.6065,0.31275,0.12125,0.0425,0.0115,0.637455122,0.344894791,0.160655597,0.066410126,0.02336069
126,127,0.997194481,[1.2680255],0.62425,0.32,0.1305,0.0415,0.014,0.637214543,0.344488858,0.170057634,0.074811951,0.032681526
127,128,1.024101491,[1.33440851],0.6195,0.32375,0.142,0.04475,0.015,0.645139017,0.355108632,0.177219662,0.077585501,0.033939735
128,129,1.034755214,[1.32240925],0.61725,0.3145,0.13875,0.052,0.0145,0.647323161,0.36794797,0.183947866,0.08264741,0.034904479
129,130,0.985796604,[1.21426567],0.6165,0.30875,0.1295,0.0445,0.0145,0.637509676,0.351297386,0.166909343,0.067744439,0.026287307
130,131,1.012589354,[1.22310532],0.62325,0.3215,0.138,0.04875,0.0135,0.635159199,0.352717102,0.167453072,0.070710678,0.028496957
131,132,1.00028002,[1.25997038],0.62025,0.31575,0.1295,0.045,0.0125,0.639346024,0.342429405,0.162163092,0.067921727,0.026399867
132,133,0.979933203,[1.1954032],0.612,0.3125,0.1285,0.045,0.012,0.643787727,0.353510123,0.166804535,0.067561235,0.022779038
133,134,0.978008344,[1.18902696],0.613,0.311,0.133,0.04325,0.00975,0.644794469,0.359417144,0.17011336,0.065384604,0.022978492
134,135,0.966283152,[1.21295889],0.60925,0.3015,0.1285,0.044,0.0105,0.644301148,0.35050369,0.166365577,0.072209161,0.027678648
135,136,1.012124183,[1.1068414],0.61725,0.317,0.1345,0.04675,0.015,0.630018852,0.335254387,0.15315512,0.05879337,0.020916329
136,137,1.00091133,[1.52532042],0.61625,0.314,0.133,0.04325,0.013,0.645134473,0.353118588,0.171605982,0.074157768,0.03857099
137,138,0.983049351,[1.18570579],0.61225,0.317,0.13375,0.04425,0.00975,0.620943502,0.328379669,0.154369748,0.062306159,0.025152375
138,139,1.010478137,[1.2094186],0.625,0.329,0.13375,0.0435,0.01225,0.637991687,0.350987235,0.16629334,0.071431537,0.027160816
139,140,0.992630202,[1.23904642],0.62,0.31425,0.12725,0.04325,0.0125,0.629161271,0.342909874,0.165165967,0.073696375,0.027550258
140,141,1.028484402,[1.17865181],0.62975,0.32075,0.138,0.04825,0.014,0.635039738,0.347481557,0.164783657,0.066859533,0.021756234
141,142,0.970072914,[1.11713798],0.6155,0.319,0.12725,0.0385,0.00975,0.631969978,0.339855387,0.159138347,0.061119654,0.019522703
142,143,0.994762217,[1.13517674],0.61775,0.317,0.1385,0.0435,0.01075,0.626711349,0.342671405,0.158114002,0.062179871,0.021485002
143,144,1.023492729,[1.15564562],0.62525,0.32575,0.13475,0.04675,0.0105,0.627916117,0.339307555,0.159113921,0.057290162,0.018424947
144,145,1.025848035,[1.20799824],0.62425,0.33125,0.141,0.049,0.011,0.626735923,0.337414866,0.162114587,0.07106542,0.026272137
145,146,1.007537008,[1.24776181],0.61175,0.3185,0.13375,0.0475,0.0125,0.640570044,0.359307528,0.173685066,0.068693649,0.027851745
146,147,1.006007774,[2.97391611],0.6235,0.31675,0.13725,0.04975,0.0115,0.64249758,0.352924992,0.17500575,0.07948153,0.036572191
147,148,0.972337966,[1.28310614],0.60825,0.314,0.13,0.04175,0.01,0.649358112,0.361080258,0.172126449,0.070655487,0.028113773
148,149,1.009634597,[1.24253224],0.61925,0.31825,0.13825,0.04725,0.014,0.63337668,0.347020332,0.16137975,0.071828937,0.028040725
149,150,0.950830517,[1.35488433],0.60075,0.3005,0.12475,0.044,0.01025,0.632196467,0.349748778,0.172129042,0.077676066,0.034046748
150,151,0.974953135,[1.1247795],0.60475,0.30825,0.1275,0.04575,0.01125,0.617695665,0.333612493,0.155282325,0.065724834,0.022888345
151,152,1.02223558,[1.33273494],0.6285,0.325,0.14025,0.04275,0.0135,0.65729973,0.376551423,0.179347484,0.072408516,0.030543612
152,153,1.008168584,[1.28761009],0.626,0.3105,0.1375,0.0445,0.01275,0.634221103,0.352059005,0.174800938,0.078214831,0.033108652
153,154,0.998233574,[1.12414758],0.61225,0.3225,0.13475,0.0455,0.01175,0.616704821,0.312930631,0.139758496,0.057098022,0.024142615
154,155,0.960932502,[1.15808647],0.60425,0.3125,0.1255,0.043,0.00975,0.621807676,0.32939534,0.152744365,0.064492499,0.025600128
155,156,1.013292657,[1.1471523],0.61725,0.31925,0.14,0.046,0.014,0.639896387,0.34374166,0.159242798,0.063941885,0.022536146
156,157,1.007867662,[1.30464638],0.6155,0.3235,0.132,0.04325,0.012,0.655257633,0.367529785,0.179088465,0.074321731,0.033749495
157,158,0.997027926,[1.21831942],0.619,0.32225,0.13775,0.041,0.0095,0.639955359,0.355777716,0.16638872,0.067476938,0.024671762
158,159,0.993616999,[1.20486345],0.62025,0.31975,0.132,0.0425,0.0115,0.644570488,0.355391342,0.167176837,0.067234209,0.024001466
159,160,0.990050617,[1.10029091],0.621,0.31475,0.13625,0.042,0.0105,0.624112436,0.323221254,0.145638642,0.059027058,0.022551495
160,161,1.004004197,[1.34084044],0.61375,0.3185,0.1345,0.04725,0.015,0.656785263,0.37789387,0.196615251,0.086005618,0.033219722
161,162,1.02290062,[1.20209484],0.63,0.32925,0.14,0.044,0.0095,0.648926249,0.361209311,0.162521315,0.068105283,0.023012803
162,163,1.028000085,[1.24724214],0.619,0.32325,0.1385,0.052,0.0135,0.660590374,0.377971166,0.179766592,0.069126741,0.020747463
163,164,1.016038639,[1.42947702],0.6235,0.33275,0.1415,0.04175,0.01025,0.637500612,0.354383364,0.175921559,0.07893646,0.037283553
164,165,0.998522578,[1.2078306],0.60675,0.31375,0.13525,0.049,0.01125,0.64013426,0.34872538,0.170634716,0.072526468,0.025428692
165,166,1.003695506,[1.26173266],0.6225,0.321,0.13675,0.045,0.01075,0.643103123,0.364750374,0.178018751,0.071501512,0.030769089
166,167,1.010299233,[1.29210599],0.61725,0.32225,0.136,0.04625,0.013,0.644694428,0.344362533,0.170503362,0.073686085,0.027589855
167,168,1.025616135,[1.15233074],0.63275,0.32475,0.14225,0.04575,0.01075,0.635481244,0.330745216,0.15549425,0.064711148,0.021973828
168,169,1.012069903,[1.21177],0.613,0.31925,0.137,0.049,0.01225,0.626643289,0.349434216,0.173529682,0.079765448,0.024162019
169,170,0.982111623,[1.29146354],0.62225,0.31825,0.1245,0.043,0.0125,0.633147276,0.351688435,0.175887095,0.082329908,0.036257634
170,171,0.986927053,[1.26825993],0.609,0.30375,0.13475,0.0465,0.012,0.640121981,0.350512646,0.174554471,0.081339975,0.032995043
171,172,1.019767743,[1.31803478],0.6295,0.31675,0.14025,0.04825,0.01225,0.630343911,0.354546194,0.166540841,0.076550479,0.03453013
172,173,1.006738116,[1.27809123],0.63425,0.325,0.133,0.043,0.0105,0.672022554,0.3739279,0.176388629,0.072773275,0.027842627
173,174,0.97984211,[1.10539127],0.62025,0.313,0.12975,0.04075,0.0125,0.624036827,0.330368435,0.14891254,0.061015713,0.022678338
174,175,1.004940333,[1.33568833],0.63325,0.31275,0.12775,0.04875,0.01275,0.636417646,0.347775238,0.158930219,0.065811072,0.026483265
175,176,0.99274571,[1.35222561],0.61075,0.306,0.13175,0.04625,0.01475,0.64866918,0.364079043,0.189519954,0.079638555,0.035552441
176,177,1.00844496,[1.15597096],0.61225,0.31725,0.132,0.0475,0.01525,0.633555968,0.333300589,0.147537164,0.061816485,0.027940283
