,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
44,45,1.010746148,[1.16703816],0.6215,0.311,0.137,0.048,0.013,0.626863414,0.338904627,0.164125025,0.065845487,0.023656936
45,46,1.018266779,[1.29011252],0.6285,0.3215,0.13475,0.04825,0.01375,0.650279595,0.368491915,0.178025795,0.078399649,0.031724083
46,47,1.048255656,[1.26706094],0.628,0.32975,0.1415,0.049,0.0145,0.647050293,0.355479792,0.173936404,0.075154556,0.030843497
47,48,0.953452042,[1.22214224],0.601,0.3105,0.12225,0.03975,0.012,0.634557764,0.351300962,0.17167121,0.070221635,0.024138573
48,49,1.022925029,[1.27188843],0.62175,0.323,0.13925,0.05225,0.01525,0.654784831,0.369128169,0.180659064,0.074893088,0.027960346
49,50,1.003317906,[1.33428899],0.60925,0.31225,0.1345,0.0475,0.01475,0.648003255,0.374493186,0.186153124,0.08294693,0.032957408
50,51,1.036620597,[1.36162451],0.62625,0.324,0.1385,0.05275,0.01375,0.669504173,0.3862861,0.193426567,0.085989387,0.034247699
51,52,1.015189879,[1.31678146],0.63075,0.3285,0.135,0.04675,0.0115,0.657469756,0.371283927,0.183004766,0.079463522,0.032186239
52,53,0.97491434,[1.35561365],0.5995,0.30675,0.12875,0.043,0.0145,0.651406279,0.375109161,0.187701894,0.089818101,0.036217115
53,54,0.973114715,[1.3008765],0.61525,0.309,0.13025,0.04025,0.009,0.654908791,0.371039375,0.176951096,0.077350293,0.029075021
54,55,1.003377828,[1.42575024],0.61575,0.325,0.13225,0.04725,0.0125,0.664730271,0.386690469,0.193323786,0.093342358,0.042033729
55,56,0.997891842,[1.46421843],0.611,0.3105,0.13325,0.0495,0.0145,0.668933584,0.394232112,0.206676664,0.099903746,0.040462498
56,57,0.986044376,[1.44197471],0.62175,0.31675,0.13375,0.041,0.01075,0.665544014,0.387914624,0.199059274,0.091674804,0.039010339
57,58,1.015562459,[1.48161122],0.611,0.32375,0.13375,0.0455,0.01325,0.66123684,0.386472318,0.207446248,0.100756914,0.044160536
58,59,1.004899307,[1.45578999],0.6255,0.31675,0.1385,0.048,0.01225,0.667963108,0.396794454,0.211262245,0.100091736,0.042528548
59,60,1.029776229,[1.48901645],0.62125,0.3245,0.13575,0.05075,0.01325,0.671704113,0.403136839,0.214390024,0.102630966,0.044029043
60,61,1.006037379,[1.68450596],0.621,0.32825,0.1365,0.04775,0.01075,0.67467781,0.411016348,0.224125877,0.115767361,0.056871656
