% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=993181, Sun Apr  6 04:41:01 2025, <python>{}</python>
1 10 0.324063770157997 0 0 0.33120566450427963 0.31933881255229607 0.29769016314866686 0.3280597779698172 0.33743282194620317 0.32543210306934944
2 20 0.34181029866766655 0 0 0.346388462815597 0.3337179027340061 0.324573100655153 0.35751195259158997 0.3368684846473303 0.3491287762133172
3 30 0.400320539850506 0 0 0.39518187547346134 0.4782132820075803 0.37964596630050984 0.40824060610923407 0.4027729102482611 0.38975050607796313
4 40 0.5498186926408146 0 0 0.5127059731880405 0.728639073577074 0.5251303245326899 0.5920721446831703 0.5668781805208581 0.5139371987409973
5 50 0.5770497394685056 0 0 0.5385243164057842 0.7152693741954285 0.523052382165401 0.6231645857050264 0.593948362873621 0.5209789509622279
6 60 0.561296348126281 0 0 0.5234289247576192 0.6946190664746728 0.514533936499961 0.6095012976473453 0.5819557057773038 0.5179959292185873
7 70 0.5274894048028612 0 0 0.47957855694137697 0.6626128286690253 0.46379943212954566 0.5711343623713621 0.5189335213287445 0.49527107334860454
8 80 0.5225969571487952 0 0 0.489133042574869 0.6347234870963323 0.4415862662776042 0.5690362293343005 0.5018984138957681 0.4993725294999407
9 90 0.4983545591080705 0 0 0.48340304023667235 0.5809386437200033 0.4090183706403868 0.505984535101607 0.4718209274567669 0.4871826429149295
10 100 0.42711847508286566 0 0 0.4084474129744874 0.45119300610972285 0.35444420187338993 0.43457115274629005 0.3992647380218394 0.40280004787167983
