% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=993181, Sun Apr  6 04:41:01 2025
1 10 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
2 20 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
3 30 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
4 40 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
5 50 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
6 60 -0.04945399602017255 -0.01235272246439095 0.06590442888468663 0.15834526045177755 0.8727660903041262 0.9574463468256057 0.9788935853642 1.0187447679378083 1.0378358478251921 1.1173177900072468
7 70 -0.2622235751230634 -0.0652353599137263 0.16622418857142165 0.29988021158901623 0.7208939757479901 0.7995622876734455 0.9754447437683735 0.9871756344331933 1.1428664909901676 1.2684084619193292
8 80 -0.2622235751230634 -0.0652353599137263 0.16622418857142165 0.29988021158901623 0.7208939757479901 0.7995622876734455 0.9754447437683735 0.9871756344331933 1.1428664909901676 1.2684084619193292
9 90 -0.2622235751230634 -0.0652353599137263 0.16622418857142165 0.29988021158901623 0.7208939757479901 0.7995622876734455 0.9754447437683735 0.9871756344331933 1.1428664909901676 1.2684084619193292
10 100 -0.2622235751230634 -0.0652353599137263 0.16622418857142165 0.29988021158901623 0.7208939757479901 0.7995622876734455 0.9754447437683735 0.9871756344331933 1.1428664909901676 1.2684084619193292
