% # columns="iteration, evaluation, void, void, void, xmean", seed=993181, Sun Apr  6 04:41:01 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 -1.2875606051099713 0.8859330916803739 0.08002429130188426 -1.2251092612468444 -0.30148203560863596 1.6432121829040307
2 20 0 0 0 -1.2106129827048304 0.8255927531834653 -0.16726385861444795 -0.9742898622940711 -0.5671943095539309 1.837790972144237
3 30 0 0 0 -1.4188326368230237 0.22173085256316183 -0.15543173817336522 -0.861531679549704 -0.5014363695622278 2.005650424448847
4 40 0 0 0 -1.0106748568066952 -0.5181186525274244 0.13104050852602092 -0.594979141291129 -0.8778173465614582 2.214544123811665
5 50 0 0 0 -0.7659440438199027 -0.04415250012475086 0.3039280022884367 -0.719932658698488 -1.1021607312812407 2.283930979127773
6 60 0 0 0 -1.2761499044350644 0.4197237796172571 0.6275561990108645 -0.6812653895670069 -0.5003554114143477 1.9343971130813513
7 70 0 0 0 -1.2198560684502349 -0.08419141524921105 0.5230221890346067 -0.4293941908851822 -0.37341328552403574 1.751634090229138
8 80 0 0 0 -1.4760411165493927 -0.5556921242913001 0.2990016110070145 -0.1308364518657869 -0.29989054553251815 1.6565894565025259
9 90 0 0 0 -1.594857983688321 -0.5999183627260719 0.11760666887354398 -0.10575523518669641 -0.5801492050119235 1.4951006274365186
10 100 0 0 0 -1.519420070343613 -0.5294378669864361 0.22526584886373668 0.04741696749866241 -0.6601978001103459 1.686310606126178
